Age,Gender,Ayear,scl_med_t,free_time,frnd_prsnl,scl_sprt_v_prsnl,scl_spc_cnt_ppl,scl_md_lmt,scl_md_mt_frn,pref_talk,Othr_pst,Oth_lkd_wshd,scl_md_jn,I_or_E,scl_md_C19,scl_md_1,scl_md_2,scl_md_3,scl_md_4,scl_md_5,scl_md_6,scl_md_ol,lnl_1,lnl_2,lnl_3,lnl_4,lnl_5,lnl_6,lnl_7,lnl_8,lnl_9,lnl_10,lnl_11,lnl_12,lnl_13,lnl_14,lnl_15,lnl_16,lnl_17,lnl_18,lnl_19,lnl_20,lnl_ol,compuls
19,1,1,5,1,2,1,3,4,2,1,2,1,1,1,1,2,3,2,3,5,2,17,2,4,1,3,2,2,4,3,2,3,2,3,2,1,4,3,4,1,3,4,47,8
20,0,2,1,2,3,3,1,2,2,2,3,1,3,0,1,3,4,4,3,3,3,20,3,3,3,3,3,2,3,4,2,4,4,4,3,3,3,3,4,3,4,4,53,1
24,0,5,1,3,2,1,1,1,2,2,3,1,1,1,1,3,2,4,4,2,1,16,2,1,3,3,3,3,3,4,4,4,3,3,1,3,3,4,3,3,4,4,43,1.5
21,1,3,1,1,2,3,2,2,4,1,1,1,3,0,1,2,3,3,2,2,3,15,2,1,3,1,2,1,3,3,2,3,4,3,4,3,2,2,3,3,2,2,61,1
20,1,3,3,3,4,4,4,1,1,1,3,0,1,0,2,1,1,2,3,1,1,9,4,2,3,2,2,3,2,1,1,3,2,2,2,2,2,2,2,2,2,2,47,5.5
20,1,3,3,2,3,4,3,2,2,2,1,2,1,1,2,1,3,4,3,3,2,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,5
20,1,3,3,1,3,3,3,2,2,1,1,2,3,0,1,2,2,2,2,2,2,12,4,2,1,4,4,4,1,1,4,3,1,2,3,1,3,3,1,2,4,4,28,5
19,1,1,1,3,1,1,2,1,2,2,3,2,4,0,1,1,1,2,2,1,3,10,2,4,4,2,3,2,3,4,3,3,4,2,4,3,2,2,3,4,3,2,61,1.5
23,0,4,1,3,3,2,2,2,2,2,1,2,3,0,0,1,1,2,1,1,1,7,3,3,2,3,3,3,2,2,2,3,3,3,3,2,3,3,2,2,3,3,45,1
21,1,3,1,1,3,1,2,1,2,2,3,1,3,0,1,2,2,2,2,2,2,12,2,2,3,2,3,3,3,3,3,2,3,2,2,3,2,3,1,3,3,1,51,1.5
