Age,Gender,Ayear,scl_med_t,free_time,frnd_prsnl,scl_sprt_v_prsnl,scl_spc_cnt_ppl,scl_md_lmt,scl_md_mt_frn,pref_talk,Othr_pst,Oth_lkd_wshd,scl_md_jn,I_or_E,scl_md_C19,scl_md_ol,lnl_ol,compuls
21,1,3,1,1,3,1,2,1,2,2,3,1,3,0,1,12,51,1.5
20,0,2,4,3,4,3,2,2,1,2,1,1,4,1,1,14,64,7
20,1,2,1,3,1,3,2,2,1,2,1,1,3,0,1,13,52,1
22,1,3,4,4,4,3,3,2,1,2,1,2,1,1,1,16,41,7
19,1,1,1,4,2,3,4,2,2,2,1,2,4,1,0,12,25,1
18,0,1,3,3,1,2,2,4,1,2,1,0,1,1,2,13,44,4
25,0,1,3,3,3,3,2,2,2,2,1,0,1,0,1,19,51,5
20,1,3,1,2,4,1,2,2,2,2,1,0,1,0,1,14,36,1
19,0,1,3,3,3,3,2,2,2,2,3,2,3,0,1,12,41,5
20,0,3,3,1,1,1,1,2,1,2,1,0,2,0,2,10,27,5
18,0,1,1,2,1,1,1,1,1,2,1,0,1,0,0,6,47,1.5
19,1,1,1,4,3,5,4,2,2,2,1,0,3,0,1,9,37,1
20,1,2,4,1,2,3,2,1,2,2,2,1,4,1,1,22,46,7.5
19,0,3,3,4,1,1,1,1,1,2,1,0,1,0,1,8,40,5.5
20,0,3,3,2,4,3,3,2,2,2,1,1,3,0,1,17,36,5
20,1,3,1,1,4,3,2,1,2,2,1,0,1,1,1,10,24,1.5
20,0,3,3,4,1,1,2,2,2,2,1,0,2,0,1,9,22,5
18,1,1,1,4,1,1,2,2,2,1,1,1,4,0,1,6,50,1
22,1,3,3,3,4,3,3,4,2,2,1,0,4,0,0,9,55,4
20,1,3,1,3,1,1,2,2,2,2,1,0,3,1,2,12,50,1
21,1,3,1,4,3,2,2,2,2,2,1,0,1,1,0,14,46,1
19,0,1,1,3,1,2,2,2,2,2,1,0,2,1,2,12,26,1
22,0,3,1,1,2,5,4,2,2,2,2,1,1,1,1,18,51,1
19,1,1,3,2,4,2,2,1,2,2,3,0,1,1,1,18,50,5.5
19,0,3,3,3,2,3,2,4,2,2,1,2,4,0,1,16,50,4
21,0,3,3,1,1,4,2,1,1,2,3,1,4,0,1,15,26,5.5
20,1,3,1,4,4,3,2,1,2,2,1,0,1,0,2,6,41,1.5
22,1,3,3,4,3,3,4,2,4,1,1,0,1,0,2,14,52,5
22,1,3,1,3,3,3,2,1,1,2,1,0,4,0,1,6,33,1.5
20,0,3,4,3,2,5,2,2,1,2,1,1,1,0,1,14,32,7
21,0,3,3,3,1,1,2,2,2,2,1,0,3,1,1,12,48,5
21,1,3,3,3,4,4,2,4,3,1,1,0,3,1,1,17,56,4
19,1,2,3,3,1,3,2,2,3,2,3,1,2,0,1,15,47,5
22,1,3,3,1,4,3,2,4,2,2,3,2,4,0,1,15,52,4
20,1,3,1,1,4,4,3,1,1,2,2,2,4,1,0,12,36,1.5
21,0,3,1,4,4,3,1,1,1,2,1,1,4,1,0,7,37,1.5
21,1,3,3,3,2,2,2,2,2,2,1,2,1,0,1,7,61,5
20,1,3,1,4,4,4,2,1,1,2,1,0,3,0,1,7,54,1.5
20,0,3,3,1,2,2,2,2,2,2,2,2,3,0,1,19,30,5
20,0,3,3,1,1,5,3,4,2,2,3,1,1,0,1,14,50,4
20,0,3,3,1,4,2,3,4,2,2,2,2,1,0,2,11,42,4
18,0,1,3,3,3,3,2,2,1,1,1,1,1,0,1,18,56,5
21,1,3,1,3,3,4,3,2,1,2,1,2,3,0,0,12,50,1
23,0,3,3,1,2,5,1,2,1,2,1,0,1,1,0,10,35,5
18,0,1,1,1,1,1,2,1,1,2,1,1,1,0,0,19,43,1.5
21,1,2,5,1,1,1,1,4,2,2,1,1,4,0,1,15,49,8
22,1,3,1,4,1,2,2,1,1,2,3,1,4,1,2,11,42,1.5
23,0,4,1,3,3,1,1,2,2,2,3,1,3,1,1,15,41,1
20,0,2,4,1,2,2,1,2,1,2,1,0,1,1,2,15,61,7
20,0,1,2,4,3,1,3,2,2,1,1,0,3,1,1,12,53,3
20,0,3,4,1,3,3,3,4,2,2,2,0,3,1,2,13,36,6
20,1,3,1,2,2,3,2,2,2,2,3,0,3,0,1,9,25,1
20,1,3,1,2,4,1,2,1,1,2,3,2,3,1,0,10,46,1.5
20,1,2,3,1,1,5,4,4,4,1,1,1,3,0,2,26,66,4
